"ID","Command","Aliases","User Story","Expected Behaviour (from code)","Status","Test Result","Errors Found","Fix Applied","Retest Result"
"US-011","create","c","As a user, I want -a without -m rejected.","'st create X -a' errors '-a requires a commit message (-m <msg>)'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-012","create","c","As a user, I want a usage error if I omit the name.","'st create' errors 'create requires exactly one branch name' and prints usage.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-013","modify","amend,m","As a user, I want to amend the current branch and auto-restack descendants.","Bare 'st modify' stages all tracked (-a default true), amends tip (no edit), restacks upstack, prints 'Amended X' + restacked list.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-014","modify","amend,m","As a user, I want to amend with a new message.","'st modify -m msg' amends commit message, restacks descendants, prints 'Amended X with new message'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-015","modify","amend,m","As a user, I want to add a brand-new commit with --commit.","'st modify --commit -m msg' creates a new commit (not amend), restacks descendants, prints 'Committed on X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-016","modify","amend,m","As a user, I want --commit without -m rejected.","'st modify --commit' errors '--commit requires a commit message (-m <msg>)'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-017","modify","amend,m","As a user, I want modify refused on the trunk.","'st modify' on trunk errors 'refusing to modify the trunk branch X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-018","modify","amend,m","As a user, I want modify refused on an untracked branch.","Errors 'branch X is not tracked'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-019","modify","amend,m","As a user with descendants and unstaged changes (-a=false), I want a dirty-tree guard.","With descendants and unstaged changes and -a=false, returns ErrDirty (exit 4).","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-020","restack","r","As a user, I want to rebase my branch and everything above onto current parents.","'st restack' from a branch rebases it + upstack; prints 'restacked' + names, or 'everything up to date'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-021","restack","r","As a user on the trunk, I want to restack every tracked branch.","'st restack' on trunk restacks all branches (parents before children).","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-022","restack","r","As a user, I want to preview a restack with --dry-run.","'st restack --dry-run' prints 'would restack' list, DryRun=true, mutates nothing.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-023","restack","r","As a user, I want restack refused on a dirty tree.","Dirty working tree returns ErrDirty (exit 4).","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-024","restack","r","As a user hitting a conflict, I want a clear recovery path.","A rebase conflict returns ErrConflict (exit 2) naming branch+onto, pointing to 'st continue'/'st abort'; leaves git rebase in progress.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-025","log","ls","As a user, I want to see my stack as a tree with trunk at the bottom.","'st log' prints forest deepest-first; current branch marked with green bold marker; '(needs restack)' on drift; tip subject dimmed.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-026","log","ls","As a user/agent, I want the stack as machine-readable JSON.","'st log --json' prints nested tree from trunk with name/parent/parentSHA/current/needsRestack/topCommit/children.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-027","log","ls","As a user with worktrees, I want to see which branch lives in which worktree.","In a multi-worktree repo, log annotates branches '(worktree: <path>[, dirty])'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-028","status","stat","As a user, I want to know where I am in the stack.","'st status' prints branch, status(role), parent, children, restack state, worktree clean/dirty.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-029","status","stat","As a user on an untracked branch, I want guidance.","Role 'untracked (run: st create or st track)'; parent '(untracked)'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-030","status","stat","As a user mid-conflict, I want status to show the paused rebase.","During a rebase, reports 'rebase: in progress on X (run: st continue / st abort)' and conflicted files (JSON), even with detached HEAD.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-031","status","stat","As an agent, I want status as JSON.","'st status --json' emits branch/trunk/role/parent/children/needsRestack/worktreeClean/rebase fields.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-032","checkout","co","As a user, I want to switch to a tracked branch by name.","'st checkout X' checks out X (trunk or tracked); prints 'switched to X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-033","checkout","co","As a user, I want to list tracked branches when I omit the name.","'st checkout' lists trunk + tracked branches sorted, current marked '*'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-034","checkout","co","As a user, I want a clear error for an unknown/untracked branch.","'st checkout X' where X untracked errors 'X is not a tracked branch'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-035","checkout","co","As a user with worktrees, I want checkout to teleport to the branch's worktree.","If branch lives in another worktree, writes cd directive (shim) or prints 'run: cd <path>' (no shim).","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-036","up","u","As a user, I want to move up the stack toward my leaves.","'st up' checks out the single child; prints 'switched to X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-037","up","u","As a user, I want to climb multiple levels with 'st up n'.","'st up 2' climbs two child links (stops at branch points).","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-038","up","u","As a user at the top, I want a clear notice.","'st up' at a leaf prints 'already at the top of the stack' (or 'switched to X (top of stack)').","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-039","up","u","As a user at a branch point, I want to be asked which child.","At >1 children, lists them: 'multiple children of X; pick one and run st checkout <name>'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-040","up","u","As a user, I want a usage error for invalid step counts.","'st up 0' or '-1' errors 'step count must be at least 1'; non-int errors 'invalid step count'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-041","down","d","As a user, I want to move down toward trunk.","'st down' checks out the parent; prints 'switched to X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-042","down","d","As a user, I want 'st down n' to descend up to n levels, stopping at trunk.","Walks parent links up to n times, stopping at trunk.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-043","down","d","As a user already on trunk, I want a clear notice.","'st down' on trunk prints 'already at trunk: X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-044","top","t","As a user, I want to jump to the top of my current stack.","'st top' walks single-children to the leaf and checks it out: 'moved to top of stack: X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-045","top","t","As a user at a branch point, I want to be told to pick.","At >1 children errors 'X is a branch point with N children; use st checkout to pick one'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-046","top","t","As a user already at the top, I want a clear notice.","Prints 'already at the top of the stack: X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-047","bottom","b","As a user, I want to jump to the bottom branch (just above trunk).","'st bottom' checks out the branch whose parent is the trunk: 'switched to bottom: X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-048","bottom","b","As a user on trunk, I want a clear notice.","'st bottom' on trunk prints 'at trunk'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-049","bottom","b","As a user already at the bottom, I want a clear notice.","Prints 'already at bottom: X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-050","fold","","As a user, I want to fold my branch into its parent.","Parent advances to branch tip, branch deleted, children re-parented onto parent, descendants restacked: 'Folded X into Y'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-051","fold","","As a user, I want fold refused if the branch needs a restack.","Errors 'X needs restack before folding (run: st restack)'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-052","fold","","As a user, I want fold refused into the trunk.","Errors 'cannot fold X into the trunk Y'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-053","fold","","As a user on an untracked branch, I want fold refused.","Errors 'branch X is not tracked'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-054","fold","","As a user with a dirty tree, I want fold refused.","Returns ErrDirty (exit 4).","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-055","squash","","As a user, I want to squash all my branch's commits into one.","Squashes commits since parent into one (composed message of subjects), restacks descendants: 'Squashed N commits on X into one'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-056","squash","","As a user, I want to provide the squashed message with -m.","'st squash -m msg' uses msg as the squashed commit message.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-057","squash","","As a user with a single commit, I want a clear no-op.","Prints 'X already has a single commit; nothing to squash'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-058","squash","","As a user, I want squash refused if the branch needs a restack or tree is dirty.","Errors 'X needs restack before squashing' / ErrDirty on dirty tree.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-059","onto","move","As a user, I want to move my branch onto a new parent.","Re-parents current onto target, rebases it + descendants: 'Moved X onto Y'.","Done (fixed)","Fail (UX/logistical issue)","F4: text-mode rebase (onto/modify/restack/sync) leaks noisy git progress (""Rebasing (1/1)Successfully rebased..."") before st's own summary. Add --quiet to the interactive rebase (keeps CONFLICT output).","internal/git RebaseOnto passes --quiet: clean rebases (onto/modify/restack/sync) no longer leak git's ""Rebasing.../Successfully rebased"" progress; conflict output preserved.","Pass (fixed & re-tested)"
"US-060","onto","move","As a user, I want a no-op if already on that parent.","Prints 'X is already stacked on Y'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-061","onto","move","As a user, I want onto-itself rejected.","Errors 'cannot move X onto itself'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-062","onto","move","As a user, I want onto a descendant rejected.","Errors 'cannot move X onto its own descendant Y'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-063","onto","move","As a user, I want onto an invalid target rejected.","Errors 'target X is not the trunk or a tracked branch'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-064","onto","move","As a user hitting a conflict mid-move, I want it recoverable.","On conflict records PendingReparent, returns ErrConflict (exit 2); 'st continue' promotes the new parent.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-065","delete","rm","As a user, I want to delete a merged branch and re-parent its children.","Deletes branch, re-parents children onto its parent, restacks them: 'Deleted X; re-parented N branch(es) onto Y'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-066","delete","rm","As a user, I want deletion of an unmerged branch to require --force.","Errors 'branch X is not merged into its stack parent Y (use --force to delete anyway)'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-067","delete","rm","As a user, I want --force to delete regardless.","'st delete X -f' deletes even if unmerged.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-068","delete","rm","As a user, I want deletion of the trunk refused.","Errors 'cannot delete the trunk branch X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-069","delete","rm","As a user, I want delete of an untracked branch refused.","Errors 'branch X is not tracked'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-070","track","","As a user, I want to start tracking the current git branch (inferring its parent).","'st track' infers closest tracked ancestor (or trunk) as parent: 'Tracking X (parent: Y)'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-071","track","","As a user, I want to set the parent explicitly with --parent.","'st track --parent Y' tracks current with parent Y (must be trunk or tracked).","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-072","track","","As a user, I want tracking the trunk refused.","Errors 'cannot track the trunk branch X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-073","track","","As a user, I want tracking an already-tracked branch refused.","Errors 'branch X is already tracked'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-074","track","","As a user, I want an invalid --parent rejected.","Errors 'parent Y is not the trunk or a tracked branch'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-075","untrack","","As a user, I want to stop tracking a branch but keep the git branch.","'st untrack [name]' removes metadata, re-parents children onto parent (rewriting their base): 'Untracked X (re-parented children onto Y)'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-076","untrack","","As a user, I want untracking the trunk refused.","Errors 'cannot untrack the trunk X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-077","untrack","","As a user, I want untracking an untracked branch refused.","Errors 'branch X is not tracked'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-078","rename","mv","As a user, I want to rename the current branch and update metadata.","'st rename NEW' renames current branch, updates record + children pointers: 'Renamed OLD -> NEW'.","Done (fixed)","Fail (UX/logistical issue)","F3: ""st rename <invalid-name>"" leaks raw git ""fatal: not a valid branch name"" + hints. Validate up front.","runRename validates newName via git.CheckBranchName; friendly ""X is not a valid branch name"".","Pass (fixed & re-tested)"
"US-079","rename","mv","As a user, I want to rename a specific branch by old+new.","'st rename OLD NEW' renames OLD.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-080","rename","mv","As a user, I want renaming the trunk to update the trunk metadata.","Renaming the trunk sets s.Trunk=NEW and re-points children.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-081","rename","mv","As a user, I want a clear error renaming to an existing name or the same name.","Errors 'branch NEW already exists' / 'new name is the same as the old name'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-082","sync","s","As a user, I want to fetch trunk, fast-forward it, prune merged branches, and restack.","'st sync' fetches+FFs trunk, prunes merged, restacks all, restores branch: 'sync complete' + 'trunk: <ff result>'.","Done (fixed)","Fail (UX/logistical issue)","F6: ""st sync --remote <missing>"" silently reports success as ""skipped (no remote)"" (rc 0) instead of erroring like submit does. An explicitly-named missing remote should error.","runSync now errors ""remote X does not exist"" when --remote is explicitly set to a missing remote (consistent with submit); a missing default origin still syncs locally.","Pass (fixed & re-tested)"
"US-083","sync","s","As a user, I want to keep merged branches with --no-delete.","'st sync --no-delete' does not prune merged branches.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-084","sync","s","As a user, I want to preview a sync with --dry-run.","'st sync --dry-run' prints 'would delete'/'would restack', DryRun=true, mutates nothing; also requires clean tree.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-085","sync","s","As a user without a remote, I want sync to still restack locally.","No remote: 'trunk: skipped (no remote)', still prunes+restacks locally.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-086","sync","s","As a user with a dirty tree, I want sync refused.","Dirty tree returns ErrDirty (exit 4).","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-087","submit","ss","As a user, I want to push my whole stack to the remote without opening PRs.","'st submit' pushes bottom..current with --force-with-lease, prints pushed list + 'open pull requests on your host: <URL>'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-088","submit","ss","As a user, I want to preview the pushes with --dry-run.","'st submit --dry-run' prints 'would push X' per branch, pushes nothing.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-089","submit","ss","As a user, I want to choose the remote with --remote.","'st submit --remote NAME' pushes to NAME; errors 'remote NAME does not exist' if absent.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-090","submit","ss","As a user on the trunk, I want a clear no-op.","'st submit' on trunk prints 'at trunk; nothing to submit'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-091","submit","ss","As a user on an untracked branch, I want submit refused.","Errors 'branch X is not tracked by stacked'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-092","continue","","As a user, I want to resume a restack after resolving a conflict.","'st continue' completes the in-progress rebase, records new base, restacks the rest: 'continued restack' + 'completed: X'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-093","continue","","As a user with no rebase in progress, I want a clear error.","Errors 'no rebase in progress; nothing to continue'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-094","abort","","As a user, I want to abort an in-progress restack and roll back.","'st abort' runs git rebase --abort, clears pending reparent; already-restacked branches keep positions.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-095","abort","","As a user with no rebase, I want a clear error.","Errors 'no rebase in progress; nothing to abort'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-096","abort","","As a user, I want abort to work even when stacked is uninitialized.","'st abort' in an uninitialized repo still aborts the rebase (state nil).","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-097","undo","","As a user, I want to undo my last stack-mutating command.","'st undo' rolls back metadata + resets recorded branch tips, working tree untouched: 'undid: <label>' + restored branches + git status note.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-098","undo","","As a user with nothing to undo, I want a clear notice.","Prints 'nothing to undo'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-099","undo","","As a user mid-rebase, I want undo refused.","Errors 'cannot undo while a rebase is in progress; run st abort or resolve conflicts and run st continue'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-100","validate","doctor","As a user, I want to check my stack for drift/inconsistencies.","'st validate' on a clean stack prints 'ok: N tracked branch(es), no problems found', exit 0.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-101","validate","doctor","As a user, I want validate to flag problems and exit non-zero for scripts.","Lists problems (missing trunk/branch, bad parent, cycle), exits non-zero ('validate found N problem(s)').","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-102","validate","doctor","As a user, I want drift surfaced as a warning (still exit 0).","Drifted-but-consistent branches listed under warnings, exit 0.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-103","repair","","As a user, I want to auto-reconcile metadata with the repo.","'st repair' untracks deleted branches, re-parents invalid/cyclic parents onto trunk, prints fixes + 'run st restack ...'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-104","repair","","As a user with a consistent stack, I want a clear no-op.","Prints 'nothing to repair; the stack is consistent with the repository'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-105","worktree","wt","As a user, I want to materialize a branch's own worktree.","'st worktree X' creates a worktree at ~/.stacked/worktrees/<repo>/<branch>, copies .worktreeinclude matches: 'created worktree: X -> <path>'.","Done (fixed)","Fail (UX/logistical issue)","F2: ""st worktree <current-branch>"" prints ""worktree already exists -> <main repo path>"", pointing at the main worktree as if a dedicated one exists (misleading).","cmd worktreeAdd uses stack.LinkedOwnerOf + MainWorktree; current/main-worktree branch gets a clear ""checked out in the main worktree (...); switch it to another branch first"" message.","Pass (fixed & re-tested)"
"US-106","worktree","wt","As a user, I want to list all worktrees.","'st worktree ls' lists each worktree (branch/path; (bare)/(detached) labels).","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-107","worktree","wt","As a user, I want to remove a branch's worktree.","'st worktree rm X' removes the worktree: 'removed worktree X (<path>)'.","Done (fixed)","Fail (UX/logistical issue)","F1: rm of a branch that lives only in the MAIN worktree leaks raw ""fatal: ... is a main working tree: exit status 128"" (exit 1) instead of a friendly message.","cmd worktreeRemove uses stack.LinkedOwnerOf; a branch only in the main worktree gets ""checked out in the main worktree, not a separate one; nothing to remove"" instead of git's raw ""is a main working tree"" fatal.","Pass (fixed & re-tested)"
"US-108","worktree","wt","As a user re-materializing, I want an idempotent result.","'st worktree X' when it exists prints 'worktree already exists' with the path.","Done (fixed)","Fail (UX/logistical issue)","F2: re-materializing the current/main-worktree branch reports ""worktree already exists -> <main repo path>"" (same root cause as US-105 F2).","Same fix as US-105 (LinkedOwnerOf); re-materializing the current/main-worktree branch no longer claims a dedicated worktree ""already exists"".","Pass (fixed & re-tested)"
"US-109","worktree","wt","As a user, I want clear errors for untracked branch / missing worktree / no arg.","Errors 'X is not a tracked branch' / 'X has no worktree' / 'worktree requires a branch name (or: ls, rm <branch>)'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-110","shell","","As a user, I want a shell shim that teleports my shell into a branch's worktree.","'st shell install [bash|zsh|fish]' prints the shim function (auto-detects from $SHELL); used via eval.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-111","shell","","As a user, I want a clear error for an unsupported shell.","'st shell foo' errors 'unsupported shell foo (supported: bash, zsh, fish)'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-112","completion","","As a user, I want shell completion for st subcommands.","'st completion <bash|zsh|fish>' prints a completion script generated from the live command registry.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-113","completion","","As a user, I want a usage error for missing/unknown shell.","'st completion' errors 'completion requires one shell argument: bash, zsh, or fish'; unknown shell errors too.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-114","guide","","As a user/agent, I want the recommended workflow.","'st guide' prints the workflow steps + exit-code summary + 'Use st help <command>'.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-115","help","-h,--help","As a user, I want to list all commands.","'st help' (or no args) prints command list with summaries + 'New here?' hint.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-116","help","-h,--help","As a user, I want help for a single command.","'st help <cmd>' prints summary, usage line, aliases.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-117","help","-h,--help","As an agent, I want help as JSON.","'st help --json' / 'st help <cmd> --json' emit command metadata incl. flags.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-118","version","-v,--version","As a user, I want the version and build info.","'st version' prints version + commit/built/go when available; '--json' emits the same.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-119","(global)","","As a user mistyping a command, I want a suggestion.","Unknown command errors 'unknown command X, did you mean Y? (run st help for usage)' (edit distance <=2).","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-120","(global)","","As an agent, I want stable semantic exit codes.","Exit codes: 0 ok, 1 generic, 2 conflict, 3 not_initialized, 4 dirty, 70 internal panic; --json errors carry {code,message}.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-121","(global)","","As an agent, I want every command (except completion/shell) to accept --json.","All registered commands accept --json producing machine-readable output; completion/shell emit scripts only.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
"US-122","(global)","","As a user in an uninitialized repo, I want a consistent not-initialized error.","State-reading/mutating commands error 'stacked is not initialized in this repo (run: st init)', exit 3.","Done","Pass (hermetic harness)","","n/a (no defect)","Pass"
